Sentence,Engagement Class,Span's first word,Span's last word,Total words
,,,,
"It is popularly believed, that sport programms on TV or another sport translation are useless for everybody",Acknowledge,1,17,17
,,,,
"It can be destructive not only for your time management, but for your health too",Entertain,1,15,15
,,,,
"I totally agree with this statement, if you really like sport it will be more usefull for you to train instead watching TV",Concur,1,6,23
,,,,
"We live in an age when many of us are sportsmens, because it is popular by all people all around the world",,,,22
,,,,
And sport is a big part of our live,,,,9
,,,,
"Every year we can visit special sport ivents, or watch them on tv or in internet",,,,16
,,,,
"Nevertheless, there is type of people who is sitting before the desktop or tv and watching sport programms all the day",Counter,1,21,21
,,,,
"These is radical sport fans, and in this case they cant enrich their brains, they just watching only sport",Deny,10,14,19
,,,,
By all mean it is harmfull for them,,,,8
,,,,
It is better to watch special programms about science and culture to became an interesting person,,,,16
,,,,
"Sport programms waste your time, they can not give you a new usefull information about finance, economy, develop your worldview",Deny,6,20,20
,,,,
"Moreover watching sportevents replaces for some people physical activity, they dont want to move, to try something new, to hang out with their friends in the park",Deny,10,27,27
,,,,
As well people who do not train suffer more from cancer and health problems in comparison to people who are engaged in sport on a regular basis,,,,27
,,,,
Due to it fitness center or playing volleyball outside with your friends can benefit you much more profit as watching professional sport on TV or in internet,Entertain,1,27,27
,,,,
"Onthe other hand there is meaning that, some people watching TV only to relax after work and in this case it can not be so harmull for your brain, it can be usefull, because your brain can rest and focus on important things",Acknowledge,4,43,43
,,,,
"To sum up, watching sport programs are not usefull for your brain, it can not gives you something usefull, what can develop your skills or make your body strengh and fit",Deny,4,31,31
,,,,
It can kill your time which you can spend on important things,,,,12
,,,,
"Speaking honestly, i now a lot of healthy people who refused to watch sport and benefit a lot of good things like more free time for family and trainings",Entertain,1,29,29
,,,,
Last but not least watching another science programms can enreach your horizonts,,,,12
